indicator,name
1,Reception staff present
2,PPE available
3,PPE properly used by staff
4,Mechanism to call for help
5,Triage nurse present
6,PPE available
7,PPE properly used by staff
8,Job aids available
9,Trained staff present
10,PPE available
11,PPE properly used by staff
12,Vital signs equipment available
13,Essential lab tests available
14,Essential medicines available
15,Essential equipment available
16,Staff present
17,PPE available
18,PPE properly used by staff
19,Essential equipment available
